Years,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,Final
66: defectors,1,100,201,302,403,504,603,702,798,903,1039,1205,1406,1628,1876,2150,2448,2767,3108,3475,3865,4277,4707,5158,5628,6119,6631,7163,7714,8284,8874,9483,10111,10755,11415,12092
67: defectors,1,101,203,308,414,521,627,733,854,990,1147,1342,1584,1862,2173,2511,2871,3251,3652,4079,4531,5003,5495,6006,6537,7087,7658,8249,8858,9486,10133,10799,11482,12182,12897,13628
68: defectors,1,100,201,302,403,504,603,704,825,963,1134,1351,1612,1898,2212,2554,2920,3307,3717,4153,4613,5094,5595,6115,6655,7216,7796,8397,9016,9654,10311,10986,11678,12387,13111,13849
69: defectors,1,280,544,765,913,1013,1102,1189,1306,1558,1894,2375,3007,3764,4635,5603,6639,7713,8821,9966,11134,12303,13465,14612,15743,16855,17946,19015,20056,21069,22057,23020,23954,24859,25735,26582
70: defectors,1,265,462,575,663,745,827,911,1040,1312,1673,2186,2849,3636,4537,5535,6598,7696,8825,9989,11173,12355,13527,14682,15820,16938,18035,19109,20155,21173,22165,23131,24068,24976,25855,26704
71: defectors,1,280,544,765,913,1013,1102,1292,1601,2029,2607,3369,4295,5326,6443,7630,8855,10091,11333,12585,13834,15062,16261,17428,18562,19663,20730,21763,22760,23721,24650,25547,26412,27242,28042,28812
72: defectors,1,265,462,575,663,745,829,1040,1366,1828,2443,3249,4213,5278,6428,7644,8895,10153,11414,12681,13941,15178,16383,17554,18690,19792,20861,21895,22893,23856,24786,25684,26549,27380,28179,28950
73: defectors,1,101,203,308,414,521,627,733,837,945,1074,1233,1439,1683,1971,2298,2663,3063,3504,3995,4539,5133,5779,6481,7241,8067,8964,9934,10979,12103,13311,14606,15987,17452,19000,20629
74: defectors,1,100,201,302,403,504,603,702,798,904,1043,1219,1440,1690,1978,2307,2677,3085,3536,4038,4592,5198,5858,6575,7353,8198,9114,10106,11173,12320,13552,14872,16279,17770,19344,20999
75: defectors,1,101,203,308,414,521,627,733,855,997,1167,1386,1667,1998,2381,2813,3292,3816,4391,5030,5734,6504,7340,8247,9230,10297,11454,12703,14045,15485,17026,18670,20412,22246,24163,26145
76: defectors,1,100,201,302,403,504,603,704,827,971,1157,1399,1698,2039,2425,2861,3347,3882,4470,5122,5841,6625,7478,8405,9410,10501,11682,12957,14326,15793,17362,19035,20805,22668,24611,26618
77: defectors,1,280,544,765,913,1013,1102,1189,1306,1562,1908,2414,3088,3909,4873,5970,7171,8449,9803,11240,12748,14300,15882,17486,19106,20737,22374,24010,25627,27217,28785,30023,30351,30640,30928,31219
78: defectors,1,265,462,575,663,745,827,911,1040,1315,1687,2223,2925,3776,4770,5896,7125,8429,9807,11266,12792,14360,15955,17570,19200,20842,22489,24134,25760,27358,28933,30149,30472,30760,31048,31337
