Years,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,Final
36: regular customers,45674,44367.4125,42639.89086,40715.97051,38811.47872,36991.49272,35359.91436,34000.41173,33031.55112,32396.25321,31942.69108,31595.55341,31341.29258,31180.46691,31094.45252,31054.44858,31034.24586,31033.27962,31050.61554,31084.38165,31133.71113,31196.25926,31265.09723,31340.08358,31421.28001,31508.73064,31602.48703,31702.62364,31809.26533,31922.43214,32042.10122,32167.72574,32298.5617,32434.73878,32576.33738,32723.42714
37: regular customers,45674,45474.32466,44802.80381,43476.83803,41728.4052,39904.79173,38155.7623,36526.62507,35092.78435,33953.11481,33179.47985,32657.37273,32254.71961,31956.93406,31747.43557,31613.3673,31538.3958,31493.92655,31464.68048,31449.98746,31449.64348,31467.13157,31502.43397,31545.19926,31593.64842,31648.50857,31710.51811,31780.44895,31859.14317,31947.23167,32045.23395,32152.946,32269.80694,32396.47928,32533.47634,32681.54795
38: regular customers,45674,44367.4125,42639.89086,40715.97051,38811.47872,36991.49272,35359.91436,34000.41173,33031.54519,32396.16712,31942.45134,31591.98691,31323.48919,31147.31816,31046.96291,30986.92307,30945.45449,30923.58251,30921.14693,30936.06693,30966.13468,31002.88439,31046.31341,31097.13969,31155.88864,31223.04701,31299.09697,31384.53798,31479.8559,31583.96007,31696.64802,31818.40355,31949.77789,32091.21265,32243.01193,32405.68147
39: regular customers,45674,45474.32466,44802.80381,43476.83803,41728.4052,39904.79173,38155.7623,36526.62507,35092.78709,33953.21598,33179.55233,32655.41102,32250.36678,31950.88224,31739.45468,31604.4018,31528.98859,31483.17797,31452.71874,31436.99231,31436.17085,31453.30398,31488.38947,31531.12433,31580.05054,31635.99461,31699.79982,31772.34949,31854.6049,31947.28828,32050.99102,32165.67444,32291.02956,32428.69484,32579.62415,32741.74559
40: regular customers,45674,44367.4125,42639.89086,40715.97051,38811.47872,36991.49272,35359.91436,34000.41173,33031.55112,32396.25819,31942.50163,31590.77785,31321.08282,31144.11269,31043.27958,30982.35742,30940.24996,30917.71387,30914.92109,30929.7902,30959.86671,30996.68052,31040.49874,31092.11252,31152.12116,31221.08615,31299.56814,31388.15012,31487.4306,31596.48179,31715.13604,31843.95525,31983.67048,32135.61904,32300.49811,32476.20869
41: regular customers,45674,43658.941,39595.75588,33997.3951,30648.51022,29353.74085,28764.72934,28395.30653,28156.76018,27987.67555,27863.84404,27775.46472,27722.48181,27704.72828,27716.53311,27754.81126,27816.98546,27900.78325,28003.81199,28123.39199,28257.6859,28405.93018,28566.84848,28738.97472,28918.48968,29100.00665,29283.51146,29469.12176,29656.99124,29847.17656,30039.69624,30234.60234,30432.00627,30632.14661,30835.07205,31040.91247
42: regular customers,45674,38593.60852,32302.45235,29764.67021,28746.62428,28250.65997,27925.48187,27720.62827,27564.54677,27451.85799,27379.65797,27339.61839,27329.47064,27351.5687,27400.76497,27473.91195,27568.33057,27681.67795,27811.57174,27955.48334,28111.70033,28279.46531,28454.4802,28631.39591,28810.32121,28991.34465,29174.55606,29360.06083,29548.00037,29738.41961,29931.32587,30126.76035,30324.82042,30525.72652,30729.52757,30936.32883
43: regular customers,45674,43658.941,39595.75588,33997.3951,30648.51022,29353.74085,28764.72934,28395.30653,28156.84746,27988.23211,27865.11614,27778.11394,27727.02097,27710.82503,27723.91896,27763.64736,27827.26775,27912.4537,28016.78712,28137.56384,28272.92998,28422.13879,28583.90232,28756.7624,28938.64982,29123.56903,29310.52106,29499.5977,29690.92748,29884.55061,30080.62047,30279.19852,30480.54157,30684.78518,30891.77199,31101.3552
44: regular customers,45674,38593.60852,32302.45235,29764.67021,28746.62428,28250.65997,27925.48187,27720.62827,27564.63427,27452.35173,27380.99884,27342.11502,27332.9419,27356.19591,27406.63897,27481.05793,27576.74208,27691.28786,27822.31307,27967.27827,28124.44919,28293.0745,28470.583,28650.60719,28832.72044,29016.98639,29203.47034,29392.25362,29583.45519,29777.1028,29973.3335,30172.20541,30373.95016,30578.70577,30786.30769,30996.60281
45: regular customers,45674,43658.941,39595.75588,33997.3951,30648.51022,29353.74085,28764.72934,28395.30653,28156.76018,27987.67555,27863.84765,27775.30703,27721.83634,27703.30875,27714.06886,27750.53722,27810.40821,27891.99749,27993.2404,28111.58477,28245.36435,28393.99399,28556.19936,28730.48696,28911.87479,29096.24841,29283.86345,29475.13451,29670.73904,29870.87156,30074.85789,30281.86583,30490.09768,30699.11588,30908.97751,31119.76212
46: regular customers,45674,38593.60852,32302.45235,29764.67021,28746.62428,28250.65997,27925.48187,27720.62827,27564.54677,27451.858,27379.65952,27338.07967,27324.98973,27344.15352,27390.52988,27461.22682,27553.65738,27665.71051,27795.04812,27939.06707,28096.07485,28265.30876,28440.26364,28617.97341,28798.69743,28982.66985,29170.12013,29361.42218,29557.21105,29757.66908,29962.11495,30169.7115,30378.65907,30588.51334,30799.32783,31011.17855
47: regular customers,45674,43658.941,39595.75588,33997.3951,30648.51022,29353.74085,28764.72934,28395.30653,28156.84805,27988.24422,27864.98322,27777.36916,27725.2694,27707.73008,27719.15454,27757.00275,27818.44718,27901.709,28004.72856,28124.94689,28260.68283,28411.36606,28575.72477,28752.23401,28938.62593,29129.66788,29325.06778,29524.35915,29726.64875,29929.87638,30133.63967,30337.9987,30543.10145,30749.07188,30955.99367,31163.94922
48: regular customers,45674,38593.60852,32302.45235,29764.67021,28746.62428,28250.65997,27925.48187,27720.62827,27564.6348,27452.35995,27380.89704,27340.38363,27328.11826,27348.29296,27395.81311,27467.74734,27561.61425,27675.11222,27805.97376,27951.63259,28110.36928,28281.46753,28461.05481,28643.92271,28830.3095,29020.75992,29215.74845,29414.79328,29616.98466,29820.25754,30024.21624,30228.91857,30434.50802,30641.1033,30848.78358,31057.62674
49: regular customers,45674,45465.77274,44756.61365,43366.14187,41577.44085,39728.71551,37955.04339,36308.4891,34866.63235,33755.19847,33010.89824,32490.86294,32087.62959,31801.06256,31606.48527,31488.26935,31430.55598,31397.65485,31383.11682,31385.51874,31404.14595,31439.89068,31491.39135,31550.00094,31614.37865,31684.68286,31761.07375,31843.72892,31932.87207,32028.61301,32131.01068,32240.08753,32354.85556,32475.09347,32600.94046,32732.51991
50: regular customers,45674,44357.76211,42605.59803,40661.47496,38733.3228,36888.49199,35239.75288,33876.49652,32918.84495,32293.12943,31831.86898,31478.02072,31228.85715,31074.62783,30994.48505,30948.64235,30923.51337,30918.23497,30931.83943,30962.66892,31009.06014,31063.14326,31123.46293,31190.23033,31263.5333,31343.43846,31430.01658,31523.35808,31623.60101,31730.70985,31843.52079,31961.71035,32085.45746,32214.90159,32350.12996,32491.21634
51: regular customers,45674,45465.77274,44756.61365,43366.14187,41577.44085,39728.71551,37955.04339,36308.4891,34866.65738,33755.37338,33010.97859,32490.75375,32087.52074,31800.78316,31606.24058,31488.10958,31430.51614,31397.77581,31383.47899,31386.14506,31405.12717,31441.2881,31493.31262,31552.57423,31617.69468,31688.83493,31766.1572,31849.84081,31940.11129,32037.07779,32140.79718,32251.31998,32367.72814,32489.71471,32617.41622,32750.95262
52: regular customers,45674,44357.76211,42605.59803,40661.47496,38733.3228,36888.49199,35239.75288,33876.49652,32918.87287,32293.28733,31832.01502,31478.09428,31228.88702,31074.69375,30994.65024,30948.95361,30924.01684,30918.9906,30932.89401,30964.06604,31010.8914,31065.52173,31126.46387,31193.93224,31268.01699,31348.78628,31436.31199,31530.68548,31632.04584,31740.38354,31854.59661,31974.28564,32099.62918,32230.76519,32367.77832,32510.73916
53: regular customers,45674,45465.77274,44756.61365,43366.14187,41577.44085,39728.71551,37955.04339,36308.4891,34866.63235,33755.19847,33010.86095,32489.26364,32082.45401,31791.42272,31586.10103,31452.15531,31375.79928,31319.87206,31281.22863,31259.33251,31254.71433,31269.07106,31292.81173,31322.77285,31359.86466,31404.96288,31458.9448,31522.70991,31597.21466,31682.84662,31778.43044,31884.49522,32002.14393,32133.12132,32277.35353,32431.77709
54: regular customers,45674,44357.76211,42605.59803,40661.47496,38733.3228,36888.49199,35239.75288,33876.49652,32918.84495,32293.12958,31831.09567,31461.89569,31190.831,31017.9718,30919.50731,30849.09078,30800.00535,30771.7114,30764.11589,30775.56186,30794.98091,30820.61912,30854.07592,30896.17641,30947.54723,31008.76398,31080.38669,31162.52178,31253.97707,31355.19646,31466.70568,31589.06513,31723.06856,31870.12263,32029.92941,32199.30831
55: regular customers,45674,45465.77274,44756.61365,43366.14187,41577.44085,39728.71551,37955.04339,36308.4891,34866.65793,33755.39004,33009.62002,32485.35064,32076.30216,31782.9535,31576.4614,31441.72392,31364.04456,31306.31554,31266.26284,31243.03039,31237.70351,31251.60925,31274.42966,31303.94648,31341.19663,31387.18725,31442.93404,31509.48166,31587.93699,31678.76035,31781.34914,31897.53935,32026.46637,32163.99574,32307.09976,32455.90719
56: regular customers,45674,44357.76211,42605.59803,40661.47496,38733.3228,36888.49199,35239.75288,33876.49652,32918.8738,32293.26098,31830.16972,31459.50458,31187.32454,31013.69267,30914.46056,30842.96058,30792.88383,30763.86417,30755.775,30766.84491,30785.6649,30810.97676,30844.46722,30887.05634,30939.46846,31002.37948,31076.45471,31161.89089,31257.67381,31364.3969,31483.03111,31615.27112,31760.07377,31913.06615,32071.21929,32234.65914
57: regular customers,45674,43618.97642,39386.89049,33682.41219,30492.42409,29255.50014,28688.54041,28324.09259,28089.14219,27916.83486,27788.26834,27694.49635,27639.66174,27622.59527,27635.4306,27675.19093,27739.28103,27825.29005,27930.71267,28052.81002,28189.69808,28340.4917,28503.82765,28674.39545,28846.70644,29020.8655,29196.97693,29375.15895,29555.56685,29738.27739,29923.45928,30111.19398,30301.80556,30495.2369,30691.33572,30889.95819
58: regular customers,45674,38551.74056,32215.76876,29714.20445,28708.75927,28212.74349,27886.92117,27678.28566,27517.94877,27399.6509,27321.75323,27278.30035,27267.94449,27290.36775,27340.32626,27414.58231,27510.39013,27625.27429,27756.78696,27902.3752,28060.28068,28226.72059,28395.04241,28565.22835,28737.39228,28911.62516,29088.01761,29266.67439,29447.7374,29631.26616,29817.41584,30006.25442,30198.09143,30392.86447,30590.41227,30790.583
59: regular customers,45674,43618.97642,39386.89049,33682.41219,30492.42409,29255.50014,28688.54041,28324.09747,28089.37067,27917.60776,27790.10728,27697.84825,27643.92944,27628.05303,27642.16663,27683.18301,27748.47275,27835.60129,27942.05108,28065.0589,28202.72445,28354.18618,28518.08468,28690.96524,28866.05457,29043.00875,29221.90738,29402.91522,29586.26916,29772.14667,29960.59539,30151.47036,30344.69189,30540.16117,30737.74622,30937.31126
60: regular customers,45674,38551.74056,32215.76876,29714.20445,28708.75927,28212.74349,27886.92117,27678.29174,27518.16152,27400.49239,27323.56779,27280.91138,27271.51951,27294.99957,27346.05708,27421.37537,27518.20139,27634.04396,27766.43381,27912.80634,28071.39759,28239.7999,28410.68655,28583.49299,28758.30844,28935.19952,29114.2332,29295.55719,29479.39694,29665.91109,29855.14016,30046.93039,30241.19397,30437.82469,30636.68421,30837.62703
61: regular customers,45674,43618.97642,39386.89049,33682.41219,30492.42409,29255.50014,28688.54041,28324.09259,28089.14219,27916.83605,27788.19025,27693.92633,27638.15024,27619.47905,27629.46193,27665.92097,27726.9062,27810.41394,27914.16993,28035.45624,28172.5647,28324.74088,28490.48944,28662.47028,28837.51839,29016.24331,29199.23168,29386.02771,29575.20447,29765.01775,29955.43022,30146.54447,30338.54014,30531.56919,30725.74149,30921.16418
